"","Mi.LD1","Ma.LD1","Mo.LD1","Ne.LD1","De.LD1","B.LD1","T.LD1","NK.LD1"
"ENSMUSG00000000001",0.00076707848709351,4.39242523530778e-06,0.000547858289648299,0.00193906273844679,0.00024068921989996,0.000373464932383879,0.000123937950925474,0.00143422163232094
"ENSMUSG00000000003",0.00123345525146876,0.00856868573469624,0.0042340421512242,0.00111416650358742,0.0047358756473331,0.00277689032148249,0.000472849140107782,0.00680976603580062
"ENSMUSG00000000028",0.000937814125485064,0.000701467024916054,0.00142396626532565,0.00111390646316221,1.54436685300829e-05,0.00159211658497371,0.00018336077888032,0.000569606661263225
"ENSMUSG00000000037",0.00660570839822751,0.00657895842976846,0.00747257716699865,0.00233983621888223,0.00481325864096807,0.00872999703812662,0.00524117716466244,0.000743123198611054
"ENSMUSG00000000049",0.00755128193475585,3.21029719258531e-05,0.0124185044478479,0.00593097670524867,0.00567950886425954,0.00611187988127729,0.00527452652934438,0.00457330589257698
"ENSMUSG00000000056",0.00101781689432092,4.5557768362677e-05,7.87188966008107e-05,0.000184477630148377,0.000372303801520592,8.69744674756171e-05,6.84104622032283e-05,0.00102060279175262
"ENSMUSG00000000058",0.00152280092177096,0.000504533160697751,1.27379974816528e-05,0.000338126728280039,0.00022089074270385,0.0002167516005989,0.000162059781551435,0.000309766274789571
"ENSMUSG00000000078",1.64938300645101e-05,5.36798507244937e-06,0.000305857712352467,6.5967493866021e-05,0.000418717996108519,0.000269483409322416,0.000256112054600889,0.000510479794194421
"ENSMUSG00000000085",0.0026228124905653,0.00143515084303224,0.0019753117896819,0.0022035469968714,0.000146416169658437,0.000780369876450308,2.58184725902914e-05,0.00231587798181774
"ENSMUSG00000000088",0.00124882959490556,0.000639306982447191,0.00292521579152696,0.00131009084358811,0.0015483401072851,0.000187462584240348,8.31825686562707e-06,0.00039768683250619
"ENSMUSG00000000093",0.00348125298616056,0.000392995159507558,0.00018399959681161,0.000864906512065528,0.00239019566662419,0.00302447865978103,0.00150884433870732,0.00105736697925339
"ENSMUSG00000000094",8.17422403304729e-06,0.000668010952556226,0.0037992790394947,0.000929899812813507,0.00100592647973805,0.000915770802052172,0.000796138438371158,0.000419581897569483
